Paragraphe 1;Paragraphe 2;Paragraphe 3;Paragraphe 4;Paragraphe 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, on n’a pas la chance de se connaitre, mais depuis un moment, je souhaite faire ta connaissance. J’ai hésité longtemps, mais je me suis dite que c’était dommage de ne pas le faire et que de toute façon, je n’avais rien à faire.;Tu sais ce que tu m’inspires? Tu m’inspires la douceur qui me manque en ce moment, tu m’inspires la sécurité qui permet de me laisser aller. J’ai envie de voir si je dis vrai, je ne pense pas me tromper.;J’espère vraiment avoir un retour de ta part même si c’est négatif, saches que j’attends quelque jours avant de relancer d’autres pistes, mais tu es aujourd’hui ma priorité ici…;"Bon monsieur le playboy, je te préviens que si tu ne me réponds pas ou que pire tu refuses mon invitation, ne fais pas de l’autostop parce que je te laisserais marcher moi !!!! ;)";En général je me connecte en début de soirée, alors n’hésites pas à venir me parler.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J’espère ne pas te déranger en te contactant comme je le fais, mais si ca te dit, j’aimerais faire un peu plus connaissance avec toi car ton profil m’a séduite.;Je me présente en 2 mots, je suis une femme bien dans sa tête et bien dans sa peau qui ne recherche rien d’autre qu’un mec plaisant avec qui passer des moments chaleureux.;J’habite à même pas 100 mètres de la mairie, et vu que je ne suis pas très à l’aise en public, on pourrait éventuellement se retrouver chez moi pour discuter tranquillement!;Alors, dis moi maintenant comment toi tu verrais une première rencontre avec moi?? Très curieuse de le savoir.;Si t’as envie de me retrouver, tu sais maintenant que tu n’as qu’à me répondre, je me connecte assez régulièrement.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut. Depuis un bon moment, je passe régulièrement sur ta page de profil, et plus je le vois, plus j’ai envie de te contacter. Aujourd’hui, l’envie est trop forte, voila pourquoi je suis là à te contacter.;J’ai envie que mon message éveille ta curiosité, et qu’il te donne envie de voir quelle petite coquine se cache derrière tout ça. Et tu veux savoir, je sais qu’avec moi on est jamais décu.;Je pense que rien ne vaut un tête à tête pour mieux se connaitre, si bien sur cela te tente, ça te dirait que l’on se boive un thé ou un chocolat au café du coin?;Pour finir de te convaincre, je te promets que si tu me rencontres tu me diras merci de t’avoir fait cette proposition.;D’habitude je me connecte qu’une fois de temps à autre mais là bizarrement je pense que je le serai plus souvent.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut, au risque de passer pour une folle, je voulais te dire que dès que j’ai vu ta photo, je me suis demandé comment un mec beau comme toi faisait ici.;Je pense être une femme très plaisante, et pour mon physique, je pense que je fais de l’effet quand un mec se retrouve face à moi pour la première fois.;Bon on est plus des enfants, alors si jamais ça te tente de faire ma connaissance je peux te préparer un apéritif chez moi, je préfère recevoir quand je ne connais pas, je suis plus à l’aise.;Si tu dis oui, tu verras bien que je vaux vraiment la peine que ton attention se porte sur moi.;Dans l’attente d’une réponse, dans l’attente d’une rencontre, je t’embrasse tendrement.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J’espère que tu n’es pas trop surpris de recevoir un message de moi comme ça, mais plus je vois ton profil, plus j’ai envie de te rencontrer..;Ne prends pas peur hein!! je ne suis pas ici pour m’accrocher avec moi, mes rencontres sur ce site de rencontre ne se limitent qu’à du charnel.;Si ta réponse est positive, je serais enchantée, mais je préfère te dire qu’avant d’aller plus loin, je préfère te voir dans un endroit public, et après qui sait… peut être chez moi, ou chez toi.. l’avenir nous le dira.;Je n’aime pas passer par 4 chemins, alors si tout ça te branche, fais moi vite signe!;Voila et bien tu veux que je te dise?? Ca fait du bien de se lâcher un peu, et je prends gout à te draguer!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je vais être très franche avec toi, pardon de t’aborder comme je le fais, mais je te trouve craquant tu n’as même pas idée. Craquant au point de bruler d’envie de faire ta connaissance.;Bon là je fais ma fière vu que je suis derrière mon ordinateur, mais je sens que le jour où j’aurais la chance de te rencontrer, je n’en mènerai pas large.;Bon voila bogosse, la balle est dans ton camp maintenant, et j’espère que tu es aussi doué que christiano balle au pied lol.;Je compte vraiment sur cette rencontre parce que pour être honnête les précédentes se sont avérées très décevantes, et c’est pour ça que pour celle là j’ai mise la barre haute.;Bon voila je pense avoir fait le tour de ce que je voulais te dire, alors si tu veux passer à l’action j’espère retrouver ton joli visage au plus vite sur le tchat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coucou, il y a quelques temps de ça j’étais tombée sur ta fiche de profil qui m’avait beaucoup plus mais j’étais pas trop en mode rencontre, ce qui n’est plus le cas maintenant, voila pourquoi je te contacte.;Si tu es aussi agréable que tu es beau, alors je veux mettre une option sur toi. Plus sérieusement j’ai très envie de découvrir qui se cache derrière ce si joli profil.;Vu que je travaille dans le centre, si ca te dis on peut se voir en semaine pendant ma pause de 13h, ou à ta convenance suivant ton emploi du temps.;;Je pense que tu devrais te connecter assez rapidement et si c’est le cas, j’espère que moi aussi je m’y trouverai.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut! Bon inutile de tourner 1heure autour du pot, tu dois surement comprendre que si je prends l’initiative de te contacter c’est que ton profil me plait.;Je suis ici tout simplement car je sors d’une longue relation et j’ai envie de décompresser à ma façon, et si un mec comme toi peut m’aider dans ce sens, ce n’est que mieux.;Mon message n’est même pas partit que j’envisage déjà une suite à notre rencontre lol. Comment je la vois?? 1ère mi temps dans un lieu public, 2ème mi temps dans un café… Et s’il y a des prolongations, je pense que chez moi ça fera l’affaire.;Bon dans l’éventualité ou tu refuses à donner suite à mes avances, j’espère que tu seras être assez fort pour avoir ma déprime sur la conscience!!! ;C’est pas que je n’ai rien à faire, mais si tu veux me retrouver, je pense que je vais laisser ma session ouverte pour voir ton message au plus vite.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waaaw, je tiens à te dire que tu es vraiment très charmant bien que je pense qu’on doit souvent te le dire, donc si ca te dis de me répondre je serais enchantée.;Pour ma part, rien à déclarer de particulier, à part que j’aime rire et m’amuser. Je suis calme en temps normal, mais je sais me lacher quand je suis avec la bonne personne.;J’espère vraiment que tu seras partant pour savoir quelle type de femme je suis, et si tel était le cas, crois moi que je ferai en sorte que tu ne regrettes pas tes choix.;Je ne sais pas pourquoi mais je sens que tu vas être plus qu’enchanté par ma proposition, ou alors c’est peut être parce que je l’espère vraiment…;Je pense que le plus simple est de se retrouver sur le tchat pour voir ce que tu penses de tout cela.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour mon cher! J’espère que mon message direct ne va pas te surprendre et t’effrayer mais je serais enchantée de faire ta connaissance.;e ne sais pas quel genre de femme tu recherches, pour ma part, je suis sportive, douce et attentionnée. J’ai un faible pour les mecs virils qui savent se comporter en vrais mecs.;Mon emploi du temps me permet d’avoir la possibilité de me libérer pour prendre du bon temps, dons si tu es éventuellement intéressé n’hésites pas à me le faire savoir.;A force de regarder ton profil, je suis devenue impatiente de te rencontrer à un point que tu n’imagines même pas lol .;Voila mon cher, c’est à ton tour de jouer et de me montrer ce que tu penses de mes avances. Je vais de ce pas sur le tchat dans l’espoir de t’y trouver au plus vite.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hello. Au risque de passer pour une fille facile je me permets de te contacter directement vu que je ne pense pas que tu l’aurais fait.;Au premier abord, tu me sembles être un homme très classe et cultivé, je te préviens que moi de mon côté, ce n’est pas le pariage ou encore le pacs qui est mon objectif si tu vois ce que je veux te dire.;Bon voila playboy, à toi de jouer, je pense t’avoir mâché le travail, j’espère vraiment que tu ne vas pas trop te faire désirer!;Si tu es intéressé ne tardes pas à me répondre parce que moi je suis troooop pressée de te voir.;Comme tu dois le deviner, je suis dispo sur le tchat pour toi, et si je ne suis pas connectée, tu me laisses un message et je te réponds dès que je le vois.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, si je te contacte directement comme ça, c’est que j’ai beaucoup aimé ton profil, et bien que l’on ne se connaisse pas encore, j’aimerais beaucoup discuter avec toi.;Je plais plutôt aux hommes, et je fais ce qu’il faut pour plaire encore plus aux hommes qui me plaisants en particulier. J’aime séduire et profiter de ce que la vie nous offre sans me prendre la tête.;Dans l’attente d’un retour positif de ta part, je pense que le mieux serait de se voir à l’extérieur dans un premier temps histoire de voir si mon intuition était bonne.;Si tu es intéressé tu sais ce qu’il te reste à faire, et surtout ne te fais pas prier car ici les autres mecs sont de vrais affamés qui n’attendent que de me dévorer!!;J’espère ne pas tomber sur un timide qui n’osera pas venir me retrouver sur le tchat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut, j’espère ne pas trop te déranger. Ca fait un moment que je veux te contacter, mais j’espérais que tu fasses le premier pas. Vu que ce n’est pas le cas, je me dis que c’est à moi de faire l’effort si j’ai envie de te rencontrer.;Je ne sais pas si tu as déjà visité mon profil, et si ce n’est pas le cas, je t’invite à le faire pour juger par toi-même, si je mérite ou non de rentrer dans ta short list!!;Voila voila, j’espère que j’aurais une réponse de ta part pour me dire que tu es tenté pour boire un thé avec moi, par contre si il y a plus, saches que je suis en colloc et que pour recevoir, c’est pas top :/ .;Si je ne te plais pas je serais vraiment déçue car moi j’ai vraiment été séduite dès que j’ai vu ton profil.;Je vais de ce pas me mettre à l’affut sur le tchat et attendre patiemment que tu te connectes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hey, je dois t’avouer que c’est loin d’être la première fois que je m’attarde sur ton profil, ton profil me plait beaucoup et j’avoue que tu parais être le style de personne avec qui j’aimerais faire connaissance autour d’un café.;J’aime m’amuser avec des personnes qui m’inspirent beaucoup de confiance comme toi, voila pourquoi je ne vis que pour prendre du bon temps. Penses tu que l’on pourrait s’amuser tous les deux?;Bon voila, au moins je n’aurais pas de regrets avec toi, la balle est maintenant dans ton camp, et on verra bien si tu me réponds ou pas.. En attendant saches juste que tu étais le numéro uno sur ma short list.;En espérant que tu me répondes au plus vite pour que l’on fasse très vite connaissance toi et moi.;Je suis impatiente du moment ou je me connecterai sur le chat et que je verrai que tu es là, je sens que je vais avoir un sourire jusqu’aux oreilles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut comment tu vas? C’est avec toi que j’avais discuté il y a quelques temps de ça?;Contrairement à quand j’étais plus jeune, si je vois un mec qui me plait, surtout sur un site de rencontre, je n’hésite pas à lui faire savoir pour attirer son attention, et faire ce qu’il faut pour que cette attention soit insistante.;Alors voila 2 options s’offrent à toi, t’es pas intéressé et tamis, ou alors tu l’es et vu qu’on est jeune et fou, on se trouve vite fait un café pour se voir en vrai.;Si t’es ok tu n’as qu’à me faire signe.;Bon j’ai fais le tour pour te faire comprendre ce que j’aimerais, mais si tu veux encore plus d’arguments, viens me faire signe et on se rejoint sur le tchat…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hello, ne prends pas peur, je ne mords pas, je suis juste une inconnue qui aimerait en apprendre un peu plus sur toi.;Je ne vais me lancer dans des phases où je me prétends belle et tout ça, je préfère te laisser me découvrir, mais je suis une bonne vivante qui aime profiter des charmes de la vie.;Bon si premier rendez vous il y a je préfère ne pas faire dans l’originalité.. Café ou resto c’est classique mais très bien je trouve c’est plus rassurant pour une femme sans défenses je trouve non?;Passons aux choses sérieuses, je compte vraiment sur une réponse de ta part car je suis plus que pressée de voir si mes pressentiments sur toi sont fondés.;Tu veux me rendre heureuse? Rejoins moi sur le site pour que l’on puisse tchatter rien que toi et moi… je t’embrasse.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je ne suis pas habituée à chasser les hommes, et je ne veux pas que tu me prennes pour ce que je ne suis pas, mais ton profil m’a donné envie de prendre contact avec toi.;Je ne sais pas pourquoi, mais mon petit doigt me dit que toi et moi, il y a bien moyen que l’on s’entende, tu as l’air d’avoir ce qui m’attire chez un homme…;Ma maison se trouve à tout juste à 50 pas de la mairie. Et, si cela t’intéresse, on pourrait se donner rendez-vous le weekend prochain pour discuter autour d’un bon café pour faire plus connaissance.;Très impatiente d’avoir une réponse positive à ma proposition, très pressée de te serrer la main et de voir ton beau sourire.;Tu devrais me trouver en ligne sur le tchat ce soir, si je ne te réponds pas ne t’inquiète pas je ne tarderai pas à le faire.. Bisoux tout doux…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e ne suis pas le genre de femme qui croit au prince charmant, mais je trouve qu’au niveau physique tu te rapproches de mon idéal masculin!;Sans vouloir me jeter des fleurs, je suis assez élégante et je sais me mettre à mon avantage, j’aime la franchise tu t’en rendras compte, et je n’aime pas tourner autour du pot pour obtenir ce que je veux.;Voila, j’espère que tu ne vas pas trop te faire désirer car je sais être patiente mais pas trop tout de même, si tu n’es pas intéressé je pense pouvoir m’en remettre lol.;Je suis plus qu’impatiente de voir si mon message a su te persuader pour venir me rencontrer.;. En espérant te parler bientôt..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour je suis sur ce site depuis un bon bout de temps, je ne te cache pas que je suis plutôt pas mal sollicitée par beaucoup de célibataires, mais bizarrement ton profil est celui qui retient le plus mon attention.;Plutôt charmante, j’aime que les hommes posent leur regard sur moi, mais je ne veux que ceux qui ont attiré le mien.. Une femme compliquée et très simple à la fois.;Bien que je sois submergée de travail, je vais attendre ta réponse avec impatience, et si tel était le cas, j’ai de l’imagination pour notre futur potentiel rendez vous!;Je crois que si tu es partant pour me rencontrer, je vais me faire si belle que tu seras tout de suite sous le charme.;Je dois te dire que je suis bavarde avec ceux qui me plaisent, donc si tu as du mal à trouver le sommeil, je pourrais peut être t’aider à le trouver si tu me rejoins sur le tchat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, je suis tombé sur ton profil par hasard, et j’avoue que tu as l’air potentiellement très intéressant, au point que je n’ai pas pu résister à l’envie de t’écrire.;En voyant ton profil, je me suis sentie attirée et charmée par ce que tu parais être, et j’espère que tu ne seras pas trop ébloui en me voyant, non je plaisante bien sur, un peu d’humour ne fait pas de mal, mais sérieusement je pense que j’ai les moyens de te plaire.;J’habite pas loin de La Poste, enfin à quelques centaines de mètres, alors si ta réponse est enthousiaste, pourquoi ne pas se retrouver vers la bas?;Je suis curieuse de voir quel effet t’aura fait mon message, je suis curieuse de savoir ce qu’une belle personne comme toi pense d’une femme comme moi.;Voila y’a plus qu’à, je te dis à très bientôt, j’attends juste un signe de ta part.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je suis à la recherche de mecs qui valent la peine, et depuis que j’ai vu ton profil, je me suis convaincue que tu faisais partie de cette catégorie de personnes.;Tu me plais, du moins, ton profil me plait, et je ne vais pas me gêner pour saisir cette occasion, je suis une femme libre et je sais ce que je veux, et ce que je veux, c’est faire la connaissance de cet homme qui parait très à mon gout.;Voila mon cher, j’ai plus ou moins fais le tour de ce que je voulais te dire, je n’attends que ta validation pour organiser une rencontre avec toi… Tu connais beaucoup de femmes toi qui s’occupent de tout comme je le fais?;Je crois que si toi et moi on passe le cap de la rencontre, tu me verras dans peu de temps accompagnée de mon plus beau sourire.;Même si je ne me connecte pas tout le temps au tchat, je contrôle ma messagerie assez souvent, alors n’hésites pas.. Au plaisir de faire ta connaissance charmant jeune homme..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malgré que je crains que tu puisses trouver étrange que je vienne te contacter comme je le fais, j’assume ma démarche car ton profil me plait, et je n’ai vraiment rien à perdre.;Ton profil correspond plus ou moins à ce que je cherche ici, bon temps, plaisir et autres. Voila pourquoi je veux faire plus ample connaissance.;Sans te donner mon adresse, j’ai mon appart, enfin ma colloc, à deux pas de la mairie, je ne sais pas où toi tu te trouves mais je peux me déplacer en voiture donc voila…;Si j’avais su je n’aurais pas attendue tant de temps avant de t’écrire car la je m’impatiente et j’espère qu’il n’est pas trop tard…;J’ai zappé de te dire, mais si tu veux me rejoindre, je suis très souvent connectée au tchat, pour écouter les mecs s’exciter su moi pour rien du tout lol . Oui je sais je suis sadique.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ma timidité m’empêche en général de prendre les devants avec les hommes, mais celui que tu parais être sur ton profil a rendu l’envie de te rencontrer trop forte pour y résister encore…;Ton profil m’a donné tout de suite l’envie d’en savoir plus sur toi, pour ma part physiquement je pense être plutôt une belle surprise, mais je te laisserai le soin de dresser mon portrait.;Que dirais tu d’une petite ballade pour faire connaissance, je suis pas trop café ni chocolat, et vu que je suis un peu timide, me ballader à tes cotés me permettra d’être plus à l’aise..;Je marche beaucoup au feeling, et là laisses moi te dire que pour toi, tous mes radars sont au vert et cela présage que du bon.;Voila je t’embrasse tendrement en attendant de te retrouver sur le tchat pour me dire que tu es plus que partant pour me rencontrer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
